search_term,clicks,spend,sales,orders,impressions,cvr,acos,cpc
#1 shampoo for double doodles dogs,1,2.46,0.0,0,4,0.0,0.0,2.46
5-in-1 dog shampoo,1,2.66,0.0,0,1,0.0,0.0,2.66
a gooddog shampoo for bernese mountain dog,1,2.14,0.0,0,5,0.0,0.0,2.14
adenitis sebacea dogs shampoo,1,1.69,0.0,0,3,0.0,0.0,1.69
alice and eli dog shampoo,1,2.32,0.0,0,4,0.0,0.0,2.32
allergic reaction dog shampoo,1,2.32,24.99,1,1,1.0,0.09283713485394157,2.32
allergy dog shampoo for dry skin,1,2.32,0.0,0,2,0.0,0.0,2.32
allergy relief dog shampoo,3,7.03,24.99,1,12,0.3333333333333333,0.28131252501000403,2.3433333333333333
allergy relief for dogs itching shampoo,1,1.84,0.0,0,8,0.0,0.0,1.84
allergy relief shampoo for dogs,1,2.45,0.0,0,1,0.0,0.0,2.45
allergy relief shampoos for dogs,1,1.87,0.0,0,3,0.0,0.0,1.87
allergy resistant dog shampoo,1,2.39,24.99,1,1,1.0,0.09563825530212086,2.39
allergy shampoo dog,1,2.32,24.99,1,1,1.0,0.09283713485394157,2.32
allergy shampoo for dogs,8,14.64,99.96,4,1097,0.5,0.14645858343337337,1.83
allergy shampoo for dogs itching,3,7.22,24.99,1,24,0.3333333333333333,0.2889155662264906,2.4066666666666667
allergy treatment shampoo dog,1,2.32,24.99,1,3,1.0,0.09283713485394157,2.32
allertech anti-allergen dog shampoo,1,1.56,0.0,0,21,0.0,0.0,1.56
amitraz dog shampoo,1,2.66,0.0,0,3,0.0,0.0,2.66
animal allergy shampoo chlor,1,2.66,0.0,0,2,0.0,0.0,2.66
animal dander shampoo,1,2.66,0.0,0,5,0.0,0.0,2.66
animal shampoo,1,2.26,0.0,0,3,0.0,0.0,2.26
anti allergen dog dander remover shampoo,1,2.22,0.0,0,6,0.0,0.0,2.22
anti allergen dog shampoo,6,11.71,24.99,1,106,0.16666666666666666,0.46858743497398964,1.9516666666666669
anti allergic shampoo for dogs,1,2.32,0.0,0,4,0.0,0.0,2.32
anti allergy dog shampoo,3,5.88,24.99,1,23,0.3333333333333333,0.23529411764705882,1.96
anti fungal allergies dog shampoo,1,2.21,0.0,0,1,0.0,0.0,2.21
anti fungal animal shampoo,1,2.39,0.0,0,5,0.0,0.0,2.39
anti fungal anti parasite dogs wash,1,1.86,0.0,0,2,0.0,0.0,1.86
anti fungal dog shampoo,14,29.99,49.98,2,301,0.14285714285714285,0.6000400160064026,2.142142857142857
anti fungal dog shampoo for yeast,3,7.44,0.0,0,96,0.0,0.0,2.48
anti fungal dog shampoos,1,2.66,0.0,0,4,0.0,0.0,2.66
anti fungal shampoo dogs with yeast infection,1,1.17,0.0,0,1,0.0,0.0,1.17
anti histamine shampoo dogs,1,1.67,0.0,0,1,0.0,0.0,1.67
anti it h dog shampoo,1,2.21,0.0,0,5,0.0,0.0,2.21
anti itch allergy shampoo for dogs,1,2.32,0.0,0,4,0.0,0.0,2.32
anti itch anti bacterial shampoo for digs,1,2.02,24.99,1,2,1.0,0.08083233293317328,2.02
anti itch cream for dogs shampoo,1,2.45,0.0,0,1,0.0,0.0,2.45
anti itch dog shampoo,17,37.45,124.95,5,929,0.29411764705882354,0.29971988795518206,2.2029411764705884
anti itch dog shampoo deshed,1,2.66,24.99,1,3,1.0,0.10644257703081234,2.66
anti itch dog shampoo for yeast,1,2.66,0.0,0,2,0.0,0.0,2.66
anti itch for dogs shampoo,1,2.39,24.99,1,1,1.0,0.09563825530212086,2.39
anti itch shampoo and cream for dogs,1,2.14,24.99,1,1,1.0,0.0856342537014806,2.14
anti itch shampoo for dogs,1,2.45,24.99,1,6,1.0,0.09803921568627452,2.45
anti itch shampoo for dogs medicated,1,2.22,0.0,0,2,0.0,0.0,2.22
anti itch shampoo for husky,1,2.0,0.0,0,3,0.0,0.0,2.0
anti itching shampoo for dogs,4,9.53,0.0,0,30,0.0,0.0,2.3825
anti microbial dog shampoo,1,1.92,24.99,1,3,1.0,0.07683073229291718,1.92
anti odor dog shampoo,1,2.32,0.0,0,2,0.0,0.0,2.32
anti yeast and fungal bacterial dog shampoo,2,4.68,0.0,0,26,0.0,0.0,2.34
anti yeast dog shampoo,5,11.56,24.99,1,83,0.2,0.4625850340136055,2.3120000000000003
anti yeast poodle shampoo,1,2.39,0.0,0,4,0.0,0.0,2.39
anti yeast shampoo for dogs,1,2.66,24.99,1,6,1.0,0.10644257703081234,2.66
anti-allergenic and odor shampoo for dogs,1,1.76,0.0,0,2,0.0,0.0,1.76
anti-allergy shampoo for furry dogs,1,2.02,0.0,0,2,0.0,0.0,2.02
antibacterial dog shampoo,12,28.05,24.99,1,462,0.08333333333333333,1.1224489795918369,2.3375
antibacterial dog shampoo and wipes,1,2.66,0.0,0,2,0.0,0.0,2.66
antibacterial dog wash,1,2.26,0.0,0,8,0.0,0.0,2.26
antibacterial medicated dog shampoo,1,2.06,0.0,0,7,0.0,0.0,2.06
antibacterial shampoo for dogs,3,5.93,0.0,0,104,0.0,0.0,1.9766666666666666
antibacterial shampoo for small dogs,1,2.22,0.0,0,2,0.0,0.0,2.22
antidandruff dog shampoo,1,2.39,24.99,1,1,1.0,0.09563825530212086,2.39
antidandruff shampoo for dogs,1,2.28,0.0,0,3,0.0,0.0,2.28
antifungal allergy dog shampoo,1,1.87,0.0,0,2,0.0,0.0,1.87
antifungal anti bacterial dog shampoo,1,2.66,0.0,0,3,0.0,0.0,2.66
antifungal antibacterial dog shampoo,3,7.06,0.0,0,15,0.0,0.0,2.353333333333333
antifungal antimicrobial dog shampoo,2,3.96,49.98,1,5,0.5,0.07923169267707084,1.98
antifungal antiseptic dog shampoo,1,2.02,0.0,0,2,0.0,0.0,2.02
antifungal antiyeast for dogs shampoo,1,1.17,0.0,0,3,0.0,0.0,1.17
antifungal body wash for dogs,1,1.79,0.0,0,2,0.0,0.0,1.79
antifungal dog shampoo for yeast,2,4.64,0.0,0,107,0.0,0.0,2.32
antifungal horse and dog shampoo,1,2.66,0.0,0,3,0.0,0.0,2.66
antifungal itch dog shampoo,1,2.32,0.0,0,2,0.0,0.0,2.32
antifungal medicated dog shampoo,1,2.32,0.0,0,6,0.0,0.0,2.32
antifungal mold yeast shampoofor dogs,1,2.22,0.0,0,1,0.0,0.0,2.22
antifungal puppy shampoo,1,2.29,0.0,0,6,0.0,0.0,2.29
antifungal shampoo for animals,2,5.05,0.0,0,4,0.0,0.0,2.525
antihistamine dog shampoo,1,2.46,0.0,0,11,0.0,0.0,2.46
antihistamine shampoos for dogs,1,2.01,0.0,0,6,0.0,0.0,2.01
antiitch dog shampoo,1,2.66,0.0,0,7,0.0,0.0,2.66
antimicrobial dog shampoo,2,4.77,0.0,0,15,0.0,0.0,2.385
antiparasitic & antiseborrheic medicated dog shampoo,2,4.19,0.0,0,7,0.0,0.0,2.095
antiparasitic shampoo for dogs,2,3.39,0.0,0,13,0.0,0.0,1.695
antiseborrheic shampoo for dogs,2,3.51,0.0,0,53,0.0,0.0,1.755
antiseptic &antifungal shampoo for dogs,1,1.76,0.0,0,1,0.0,0.0,1.76
antiseptic and antifungal shampoo for huskies,1,2.35,0.0,0,2,0.0,0.0,2.35
antiseptic antifungal medicated dog shampoo,1,2.66,0.0,0,2,0.0,0.0,2.66
antiseptic antifungal shampoo,1,2.26,0.0,0,1,0.0,0.0,2.26
antiseptic antifungal shampoo dog,1,1.69,0.0,0,11,0.0,0.0,1.69
antiseptic dog shampoo,4,7.89,0.0,0,50,0.0,0.0,1.9725
antiseptic dog shampoo for yeast,1,2.32,0.0,0,2,0.0,0.0,2.32
antiseptic medicated allergy shampoo dogs,1,2.22,24.99,1,1,1.0,0.0888355342136855,2.22
antiseptic shampoo for 10lb dogs,1,1.92,0.0,0,2,0.0,0.0,1.92
antiseptic shampoo for dogs,2,4.01,24.99,1,22,0.5,0.1604641856742697,2.005
antiyeast dog shampoo,1,2.32,0.0,0,6,0.0,0.0,2.32
antiyeast for dogs shampoo,1,2.39,24.99,1,3,1.0,0.09563825530212086,2.39
anyo fungal dog shampoo,1,2.26,0.0,0,2,0.0,0.0,2.26
apoxie shampoo for dog,1,2.45,0.0,0,3,0.0,0.0,2.45
arm and hammer tearless dog shampoo,1,2.66,0.0,0,1,0.0,0.0,2.66
arm n hammer dog shampoo,1,1.92,24.99,1,7,1.0,0.07683073229291718,1.92
aroma dog shampoo,1,1.48,24.99,1,8,1.0,0.05922368947579032,1.48
aromacare dog shampoo,1,1.84,0.0,0,11,0.0,0.0,1.84
artero shampoo for dogs,1,1.56,0.0,0,5,0.0,0.0,1.56
australian shepherd shampoo,1,2.32,0.0,0,8,0.0,0.0,2.32
avoderm dog shampoo,1,2.31,24.99,1,5,1.0,0.09243697478991597,2.31
baby dog shampoo,1,1.84,0.0,0,9,0.0,0.0,1.84
bacterial shampoo for dog,1,2.32,0.0,0,4,0.0,0.0,2.32
bad boy dog shampoo,1,2.66,0.0,0,3,0.0,0.0,2.66
bad odor dog shampoo,1,1.87,0.0,0,1,0.0,0.0,1.87
baking soda dog shampoo,4,9.39,49.98,2,27,0.5,0.18787515006002403,2.3475
banixx dog shampoo,1,2.02,24.99,1,2,1.0,0.08083233293317328,2.02
banixx shampoo for dogs,1,2.0,0.0,0,8,0.0,0.0,2.0
bark2basics dog shampoo,2,3.58,0.0,0,41,0.0,0.0,1.79
barn dog shampoo,1,1.6,0.0,0,3,0.0,0.0,1.6
bath solution for dogs,1,1.69,24.99,1,3,1.0,0.06762705082032813,1.69
baños ecológicos para perros,1,2.26,0.0,0,1,0.0,0.0,2.26
beagle shampoo,1,2.0,24.99,1,2,1.0,0.08003201280512205,2.0
beat dog shampoo,1,2.26,0.0,0,6,0.0,0.0,2.26
bedbugs shampoo for dogs,2,4.32,24.99,1,3,0.5,0.17286914765906364,2.16
bedhead dog shampoo,1,2.01,0.0,0,5,0.0,0.0,2.01
bellpaws shampoo for dogs,1,2.45,0.0,0,1,0.0,0.0,2.45
betadine shampoo for dogs,1,2.22,0.0,0,1,0.0,0.0,2.22
better smelling dog shampoo,1,2.26,0.0,0,1,0.0,0.0,2.26
bio groom dog shampoo,1,1.7,0.0,0,15,0.0,0.0,1.7
biosilk for dogs shampoo,1,1.84,0.0,0,6,0.0,0.0,1.84
biotex dog shampoo,1,2.32,0.0,0,2,0.0,0.0,2.32
biotin dog shampoo,1,2.26,0.0,0,2,0.0,0.0,2.26
black dog shampoo,2,2.91,0.0,0,26,0.0,0.0,1.455
blueberry dog shampoo,1,2.26,24.99,1,16,1.0,0.09043617446978791,2.26
blueberry facial dog shampoo,1,1.84,0.0,0,17,0.0,0.0,1.84
bluing shampoo for dogs,1,1.6,0.0,0,1,0.0,0.0,1.6
bodhi dog shampoo,1,1.84,24.99,1,9,1.0,0.0736294517807123,1.84
body wash for hot spots for dogs,1,2.31,0.0,0,4,0.0,0.0,2.31
boston terrier dog shampoo,1,2.66,0.0,0,1,0.0,0.0,2.66
boxer dog shampoo,1,2.32,0.0,0,5,0.0,0.0,2.32
bpo-3 shampoo for dogs,1,2.66,0.0,0,14,0.0,0.0,2.66
buddy wash dog shampoo,1,2.14,0.0,0,19,0.0,0.0,2.14
bulk dog shampoo,1,2.32,0.0,0,7,0.0,0.0,2.32
bulldog allergy shampoo,1,2.39,24.99,1,2,1.0,0.09563825530212086,2.39
bulldog medicated shampoo skin rash,1,2.32,0.0,0,2,0.0,0.0,2.32
bulldog shampoo,1,2.26,24.99,1,13,1.0,0.09043617446978791,2.26
burt bees dog shampoo,1,1.84,24.99,1,19,1.0,0.0736294517807123,1.84
burts bee dog shampoo,1,2.66,0.0,0,15,0.0,0.0,2.66
burts bees dog shampoo,3,6.85,24.99,1,113,0.3333333333333333,0.274109643857543,2.283333333333333
burts bees dog shampoo coconut,1,2.32,0.0,0,2,0.0,0.0,2.32
burts bees itch soothing dog shampoo,1,1.92,24.99,1,3,1.0,0.07683073229291718,1.92
calming dog shampoo,1,2.32,0.0,0,2,0.0,0.0,2.32
cane corso dog shampoo,1,2.26,0.0,0,4,0.0,0.0,2.26
cera dog shampoo,1,1.6,0.0,0,1,0.0,0.0,1.6
cera soothe shampoo for dogs,1,2.31,0.0,0,6,0.0,0.0,2.31
champu anti itch perros,1,2.0,0.0,0,5,0.0,0.0,2.0
champu antipulgas para perros,1,2.45,0.0,0,2,0.0,0.0,2.45
champu para la picazón de la piel de los perros,1,1.89,0.0,0,3,0.0,0.0,1.89
champu para perro para eliminate hongo,1,1.87,0.0,0,1,0.0,0.0,1.87
champu para perros hopialergico antiitch e hidratante,1,2.02,0.0,0,2,0.0,0.0,2.02
champú antifúngico para perro,1,2.34,0.0,0,4,0.0,0.0,2.34
chemical free dog shampoo,2,4.79,0.0,0,5,0.0,0.0,2.395
chi dog shampoo,5,11.1,49.98,2,406,0.4,0.22208883553421369,2.2199999999999998
chi shampoo for dogs,2,3.91,0.0,0,7,0.0,0.0,1.955
chinese crested dog shampoo,1,2.32,0.0,0,6,0.0,0.0,2.32
cinnamon dog shampoo,1,2.0,0.0,0,3,0.0,0.0,2.0
clarifying dog shampoo,1,1.76,0.0,0,3,0.0,0.0,1.76
clarifying dog wash,1,2.32,0.0,0,5,0.0,0.0,2.32
cleanest shampoo for dogs,1,1.76,24.99,1,2,1.0,0.07042817126850741,1.76
clearance dog shampoo,1,2.66,0.0,0,3,0.0,0.0,2.66
coal tar dog shampoo,2,4.66,0.0,0,12,0.0,0.0,2.33
coat defense for dogs shampoo,1,1.6,0.0,0,22,0.0,0.0,1.6
coat defense shampoo for dogs,2,3.2,0.0,0,86,0.0,0.0,1.6
cocoa butter dog shampoo,1,2.02,0.0,0,2,0.0,0.0,2.02
coconut dog shampoo,1,2.66,0.0,0,8,0.0,0.0,2.66
coconut oil based dog shampoo,1,2.14,0.0,0,1,0.0,0.0,2.14
coconut oil dog shampoo,1,2.66,0.0,0,11,0.0,0.0,2.66
coconut oil shampoo for dogs,1,1.87,24.99,1,2,1.0,0.07482993197278913,1.87
colloidal silver dog shampoo,1,1.69,24.99,1,2,1.0,0.06762705082032813,1.69
complete care dog shampoo,1,2.21,24.99,1,5,1.0,0.08843537414965986,2.21
corgi dog shampoo,1,1.64,0.0,0,4,0.0,0.0,1.64
cream or shampoo for yeast infection in dog,1,2.31,24.99,1,2,1.0,0.09243697478991597,2.31
crown royal dog shampoo,1,2.14,0.0,0,2,0.0,0.0,2.14
curaseb antifungal antibacterial dog shampoo,1,2.32,0.0,0,1,0.0,0.0,2.32
cytopint dog shampoo for yeast,1,2.45,0.0,0,2,0.0,0.0,2.45
cytopint for dogs shampoo,1,1.92,0.0,0,1,0.0,0.0,1.92
dander shampoo for dogs,1,2.27,0.0,0,45,0.0,0.0,2.27
dashed dog shampoo,1,2.26,24.99,1,2,1.0,0.09043617446978791,2.26
davines dog shampoo,1,2.26,0.0,0,5,0.0,0.0,2.26
davis dog shampoo,3,6.09,0.0,0,79,0.0,0.0,2.03
davis gentle dog shampoo,1,2.24,0.0,0,4,0.0,0.0,2.24
davis ketohexidine shampoo for dogs,1,2.32,0.0,0,5,0.0,0.0,2.32
dechra dog shampoo,1,2.32,0.0,0,25,0.0,0.0,2.32
deep clean dog shampoo,1,1.6,0.0,0,6,0.0,0.0,1.6
deep conditioning dog shampoo,1,2.14,0.0,0,6,0.0,0.0,2.14
deflee dog shampoo,1,2.66,24.99,1,2,1.0,0.10644257703081234,2.66
degreaser dog shampoo,1,2.26,0.0,0,11,0.0,0.0,2.26
degreasing dog shampoo,1,1.69,0.0,0,3,0.0,0.0,1.69
dematting dog shampoo,1,2.66,0.0,0,3,0.0,0.0,2.66
demodex shampoo for dogs,1,1.6,0.0,0,14,0.0,0.0,1.6
derma dyne dog shampoo,1,2.26,0.0,0,5,0.0,0.0,2.26
dermabenss dog shampoo,1,2.46,0.0,0,5,0.0,0.0,2.46
dermabenz dog shampoo,1,2.66,0.0,0,3,0.0,0.0,2.66
dermabliss dog shampoo,2,3.44,0.0,0,120,0.0,0.0,1.72
dermabliss dog shampoo for itching and allergies,1,2.45,0.0,0,3,0.0,0.0,2.45
dermabliss shampoo for dogs,1,1.29,0.0,0,18,0.0,0.0,1.29
dermagic shampoo for dogs,1,2.31,24.99,1,1,1.0,0.09243697478991597,2.31
dermaliss shampoo for dogs,1,2.31,0.0,0,2,0.0,0.0,2.31
dermaprotect dog shampoo,1,2.32,0.0,0,2,0.0,0.0,2.32
dermatophytosis dog shampoo,1,2.32,0.0,0,2,0.0,0.0,2.32
desert dog oil shampoo,1,2.21,0.0,0,1,0.0,0.0,2.21
deshed shampoo for dogs,1,1.69,0.0,0,3,0.0,0.0,1.69
detailed shampoo for dogs,1,1.69,0.0,0,1,0.0,0.0,1.69
detangling dog shampoo,1,1.76,0.0,0,1,0.0,0.0,1.76
dirty dog shampoo,1,1.84,0.0,0,29,0.0,0.0,1.84
disinfecting dog shampoo,1,2.21,0.0,0,3,0.0,0.0,2.21
doberman dog shampoo,1,2.32,0.0,0,5,0.0,0.0,2.32
dog 2-1 shampoo,1,2.14,0.0,0,1,0.0,0.0,2.14
dog allergen shampoo,1,2.46,0.0,0,5,0.0,0.0,2.46
dog allergy bath,2,4.7,24.99,1,3,0.5,0.18807523009203683,2.35
dog allergy relief shampoo,2,5.12,24.99,1,14,0.5,0.20488195278111246,2.56
dog allergy relief shampoo medicated,1,2.39,0.0,0,1,0.0,0.0,2.39
dog allergy remover shampoo,1,2.39,0.0,0,5,0.0,0.0,2.39
dog allergy shampoo,24,55.5,274.89,12,1670,0.5,0.2018989413947397,2.3125
dog allergy shampoo cortisone,1,1.92,0.0,0,1,0.0,0.0,1.92
dog allergy shampoo medicated,3,6.92,0.0,0,6,0.0,0.0,2.3066666666666666
dog allergy skin relief shampoo,1,1.87,24.99,1,1,1.0,0.07482993197278913,1.87
dog anti allergy shampoo,1,2.46,0.0,0,10,0.0,0.0,2.46
dog anti fungal shampoo,6,13.57,49.98,2,99,0.3333333333333333,0.27150860344137656,2.2616666666666667
dog anti itch shampoo,2,4.64,24.99,1,49,0.5,0.18567426970788314,2.32
dog anti-itch and anti-fungal shampoo,1,2.14,0.0,0,1,0.0,0.0,2.14
dog antibacterial and antifungal shampoo,2,4.14,24.99,1,92,0.5,0.16566626650660263,2.07
dog antibacterial shampoo,3,6.54,0.0,0,34,0.0,0.0,2.18
dog antifungal bath,1,2.66,24.99,1,3,1.0,0.10644257703081234,2.66
dog antifungal medicated shampoo,1,2.22,0.0,0,12,0.0,0.0,2.22
dog antifungal shampoo and anti itch,1,2.21,0.0,0,3,0.0,0.0,2.21
dog antifungal shampoo for yeast,1,2.14,0.0,0,2,0.0,0.0,2.14
dog antihistamine shampoo,1,1.86,0.0,0,1,0.0,0.0,1.86
dog antiseptic antifungal shampoo,1,1.92,0.0,0,7,0.0,0.0,1.92
dog bacteria shampoo,1,2.32,0.0,0,2,0.0,0.0,2.32
dog bath wash for bad skin,1,2.39,24.99,1,2,1.0,0.09563825530212086,2.39
dog bathing shampoo for pitbulls with skin allergies,1,2.46,0.0,0,2,0.0,0.0,2.46
dog bite shampoo,1,2.08,0.0,0,1,0.0,0.0,2.08
dog body stop itchy￼ body wash,1,1.92,24.99,1,3,1.0,0.07683073229291718,1.92
dog body wash,1,1.87,0.0,0,5,0.0,0.0,1.87
dog body wash boy smell shampoo,1,2.66,0.0,0,3,0.0,0.0,2.66
dog body wash for extreme itching,1,2.31,24.99,1,3,1.0,0.09243697478991597,2.31
dog butt shampoo,1,2.39,24.99,1,2,1.0,0.09563825530212086,2.39
dog calendula shampoo,1,2.02,0.0,0,3,0.0,0.0,2.02
dog calming shampoo,1,1.7,24.99,1,17,1.0,0.06802721088435375,1.7
dog chi shampoo,1,1.92,24.99,1,3,1.0,0.07683073229291718,1.92
dog cleaning shampoo,1,2.66,0.0,0,1,0.0,0.0,2.66
dog coal tar shampoo,1,2.19,0.0,0,3,0.0,0.0,2.19
dog coconut shampoo,1,2.14,0.0,0,3,0.0,0.0,2.14
dog corn chip smell shampoo,1,2.22,0.0,0,4,0.0,0.0,2.22
dog dander shampoo,3,5.68,0.0,0,36,0.0,0.0,1.8933333333333333
dog degreaser shampoo,2,5.05,0.0,0,19,0.0,0.0,2.525
dog deodorizing shampoo odor control set,1,2.66,24.99,1,2,1.0,0.10644257703081234,2.66
dog detangler shampoo german shepherd ￼,1,2.02,0.0,0,1,0.0,0.0,2.02
dog disinfectant shampoo,1,2.32,0.0,0,4,0.0,0.0,2.32
dog double coat shampoo,1,2.45,0.0,0,1,0.0,0.0,2.45
dog dry hair shampoo,1,1.84,0.0,0,16,0.0,0.0,1.84
dog dry skin shampoo,3,6.97,49.98,2,25,0.6666666666666666,0.13945578231292519,2.3233333333333333
dog dry skin treatment shampoo,1,2.66,24.99,1,3,1.0,0.10644257703081234,2.66
dog eczema shampoo,2,4.87,0.0,0,5,0.0,0.0,2.435
dog female anti yeast shampoo,1,2.18,0.0,0,1,0.0,0.0,2.18
dog flaky skin shampoo,1,2.0,0.0,0,3,0.0,0.0,2.0
dog foamer shampoo,1,2.66,0.0,0,5,0.0,0.0,2.66
dog foaming shampoo,1,2.26,0.0,0,1,0.0,0.0,2.26
dog fragrance free anti fungal shampoo,1,1.88,0.0,0,3,0.0,0.0,1.88
dog fragrance free fungal shampoo,1,2.31,0.0,0,3,0.0,0.0,2.31
dog frenchie shampoo,1,2.14,0.0,0,2,0.0,0.0,2.14
dog frito smell shampoo,1,1.76,0.0,0,2,0.0,0.0,1.76
dog fur shampoo,1,2.26,0.0,0,3,0.0,0.0,2.26
dog german shepherd shampoo with anti yeast,1,2.31,24.99,1,1,1.0,0.09243697478991597,2.31
dog goat milk shampoo,1,2.39,0.0,0,3,0.0,0.0,2.39
dog groomer shampoo,1,1.17,0.0,0,10,0.0,0.0,1.17
dog grooming shampoo pits,1,1.69,0.0,0,1,0.0,0.0,1.69
dog grooming shampoo professional,1,2.26,0.0,0,6,0.0,0.0,2.26
dog hair care shampoo,1,2.02,0.0,0,3,0.0,0.0,2.02
dog hair dye shampoo,1,2.26,0.0,0,1,0.0,0.0,2.26
dog hair loss treatment shampoo,1,2.23,0.0,0,2,0.0,0.0,2.23
dog hair wash,1,1.69,0.0,0,2,0.0,0.0,1.69
dog hot spot antiseptic shampoo,1,2.39,0.0,0,3,0.0,0.0,2.39
dog hot spot shampoo,1,2.32,24.99,1,8,1.0,0.09283713485394157,2.32
dog hydrating shampoo,1,2.26,24.99,1,6,1.0,0.09043617446978791,2.26
dog hydrocortisone shampoo,1,1.72,0.0,0,3,0.0,0.0,1.72
dog inflamed skin shampoo,1,2.22,24.99,1,1,1.0,0.0888355342136855,2.22
dog irritated skin relief shampoo,3,5.44,0.0,0,144,0.0,0.0,1.8133333333333335
dog it h relief shampoo,1,2.39,24.99,1,1,1.0,0.09563825530212086,2.39
dog itch relief shampoo,4,9.65,49.98,2,38,0.5,0.19307723089235695,2.4125
dog itch shampoo,5,12.35,24.99,1,112,0.2,0.49419767907162865,2.4699999999999998
